,Unnamed: 0,Serial Number,Date,Day,IncExp Status,Rupees,Pupose of IncExp,Payment mode,Monthly Saving,Total Balance
0,0,1,31-07-2023,Monday,Income,27700.0,Office,Online,27700.0,206620.21
1,1,2,01-08-2023,Tuesday,Expenditure,720.9,Mobile Recharge,Online,26979.1,205899.31
2,2,3,02-08-2023,Wednesday,None,0.0,None,None,26979.1,205899.31
3,3,4,03-08-2023,Thursday,None,0.0,None,None,26979.1,205899.31
4,4,5,04-08-2023,Friday,None,0.0,None,None,26979.1,205899.31
5,5,6,05-08-2023,Saturday,None,0.0,None,None,26979.1,205899.31
6,6,7,06-08-2023,Sunday,Income,10.0,Friend,Online,26989.1,205909.31
7,7,8,06-08-2023,Sunday,Expenditure,20.0,To Bank,Online,26969.1,205889.31
8,8,9,06-08-2023,Sunday,Expenditure,20.0,Juice Drink,Online,26949.1,205869.31
9,9,10,06-08-2023,Sunday,Expenditure,7500.0,Rent,Cash,19449.1,198369.31
10,10,11,06-08-2023,Sunday,Expenditure,222.7,Train Ticket,Online,19226.4,198146.61
11,11,12,07-08-2023,Monday,None,0.0,None,None,19226.4,198146.61
12,12,13,08-08-2023,Tuesday,None,0.0,None,None,19226.4,198146.61
13,13,14,09-08-2023,Wednesday,None,0.0,None,None,19226.4,198146.61
14,14,15,10-08-2023,Thursday,None,0.0,None,None,19226.4,198146.61
15,15,16,11-08-2023,Friday,Expenditure,20.0,Surf,Cash,19206.4,198126.61
16,16,17,12-08-2023,Saturday,None,0.0,None,None,19206.4,198126.61
17,17,18,13-08-2023,Sunday,Expenditure,6.0,Egg,Cash,19200.4,198120.61
18,18,19,13-08-2023,Sunday,Expenditure,1775.65,Train Ticket,Online,17424.75,196344.96
19,19,20,13-08-2023,Sunday,Expenditure,2570.65,Train Ticket,Online,14854.1,193774.31
20,20,21,14-08-2023,Monday,Expenditure,95.0,Post,Cash,14759.1,193679.31
21,21,22,15-08-2023,Tuesday,Expenditure,50.0,Chicken,Cash,14709.1,193629.31
22,22,23,16-08-2023,Wednesday,None,0.0,None,None,14709.1,193629.31
23,23,24,17-08-2023,Thursday,None,0.0,None,None,14709.1,193629.31
24,24,25,18-08-2023,Friday,None,0.0,None,None,14709.1,193629.31
25,25,26,19-08-2023,Saturday,None,0.0,None,None,14709.1,193629.31
26,26,27,20-08-2023,Sunday,Expenditure,50.0,Chicken,Online,14659.1,193579.31
27,27,28,20-08-2023,Sunday,Expenditure,320.0,Snacks,Cash,14339.1,193259.31
28,28,29,21-08-2023,Monday,None,0.0,None,None,14339.1,193259.31
29,29,30,22-08-2023,Tuesday,Expenditure,50.0,juice,online,14289.1,193209.31
30,30,31,23-08-2023,Wednesday,None,0.0,None,None,14289.1,193209.31
31,31,32,24-08-2023,Thursday,Expenditure,170.0,Snacks,Cash,14119.1,193039.31
32,32,33,24-08-2023,Thursday,Expenditure,115.0,pizza,Cash,14004.1,192924.31
33,33,34,24-08-2023,Thursday,Expenditure,100.0,chicken,online,13904.1,192824.31
34,34,35,24-08-2023,Thursday,Expenditure,77.0,Auto,online,13827.1,192747.31
35,35,36,25-08-2023,Friday,Expenditure,20.0,Bus,Cash,13807.1,192727.31
36,36,37,25-08-2023,Friday,Expenditure,320.0,Snacks,Online,13487.1,192407.31
37,37,38,26-08-2023,Saturday,Expenditure,10.0,TrainTransBegg,Cash,13477.1,192397.31
38,38,39,26-08-2023,Saturday,Expenditure,262.0,Biriyani,Online,13215.1,192135.31
39,39,40,27-08-2023,Sunday,None,0.0,None,None,13215.1,192135.31
40,40,41,28-08-2023,Monday,None,0.0,None,None,13215.1,192135.31
41,41,42,29-08-2023,Tuesday,None,0.0,None,None,13215.1,192135.31
42,42,43,30-08-2023,Wednesday,None,0.0,None,None,13215.1,192135.31
43,43,44,31-08-2023,Thursday,Income,27700.0,Office,Online,27700.0,219835.31
44,44,45,31-08-2023,Thursday,Expenditure,100.0,Cab,Cash,27600.0,219735.31
45,45,46,31-08-2023,Thursday,Expenditure,5.0,Cab,Online,27595.0,219730.31
46,46,47,01-09-2023,Friday,Expenditure,60.0,Bike,Cash,27535.0,219670.31
47,47,48,02-09-2023,Saturday,None,0.0,None,None,27535.0,219670.31
48,48,49,03-09-2023,Sunday,Expenditure,6.0,Egg,Cash,27529.0,219664.31
49,49,50,03-09-2023,Sunday,Expenditure,7500.0,Rent,Cash,20029.0,212164.31
50,50,51,04-09-2023,Monday,None,0.0,None,None,20029.0,212164.31
51,51,52,05-09-2023,Tuesday,None,0.0,None,None,20029.0,212164.31
52,52,53,06-09-2023,Wednesday,Income,90.0,Friend,Online,20119.0,212254.31
53,53,54,06-09-2023,Wednesday,Expenditure,90.0,Juice,Online,20029.0,212164.31
54,54,55,07-09-2023,Thursday,None,0.0,None,None,20029.0,212164.31
55,55,56,08-09-2023,Friday,Expenditure,40.0,Snacks,Cash,19989.0,212124.31
56,56,57,08-09-2023,Friday,Expenditure,6.0,Egg,Cash,19983.0,212118.31
57,57,58,09-09-2023,Saturday,None,0.0,None,None,19983.0,212118.31
58,58,59,10-09-2023,Sunday,Expenditure,120.0,Haircut,Cash,19863.0,211998.31
59,59,60,11-09-2023,Monday,None,0.0,None,None,19863.0,211998.31
60,60,61,12-09-2023,Tuesday,Expenditure,50.0,chicken,Online,19813.0,211948.31
61,61,62,13-09-2023,Wednesday,Expenditure,1530.65,Train Ticket,Online,18282.35,210417.66
62,62,63,14-09-2023,Thursday,None,0.0,None,None,18282.35,210417.66
63,63,64,15-09-2023,Friday,None,0.0,None,None,18282.35,210417.66
64,64,65,16-09-2023,Saturday,Expenditure,999.0,Mobile Recharge,Online,17283.35,209418.66
65,65,66,16-09-2023,Saturday,Expenditure,74.0,stationary,Cash,17209.35,209344.66
