Pixel,Wavelength,Processed,Raw,Dark,Reference
0,341.78,6,896,890,
1,342.11,19,888,856,
2,342.44,22,880,861,
3,342.77,20.67,882,867,
4,343.1,21.33,897,869,
5,343.43,21,882,861,
6,343.76,22.33,877,863,
7,344.09,19,897,865,
8,344.42,28.33,880,869,
9,344.75,36.33,890,848,
10,345.09,31.33,915,859,
11,345.42,19.33,865,869,
12,345.75,4.67,867,861,
13,346.08,15,875,863,
14,346.41,17.67,888,861,
15,346.74,18.67,877,863,
16,347.07,23,886,871,
17,347.4,23,894,854,
18,347.73,21.67,894,880,
19,348.06,20,880,869,
20,348.4,28,896,861,
21,348.73,33.67,899,861,
22,349.06,30.67,884,856,
23,349.39,24.33,882,856,
24,349.72,22,892,873,
25,350.05,24.67,888,867,
26,350.38,40.33,880,846,
27,350.71,45.33,903,837,
28,351.04,43.33,905,869,
29,351.37,24,886,858,
30,351.71,15.67,869,861,
31,352.04,11.33,880,869,
32,352.37,14.33,888,873,
33,352.7,13,890,873,
34,353.03,18,865,858,
35,353.36,19.33,905,875,
36,353.69,24,888,867,
37,354.02,22.33,880,859,
38,354.36,24,888,863,
39,354.69,27,878,852,
40,355.02,27.33,871,841,
41,355.35,17.33,899,873,
42,355.68,16,863,867,
43,356.01,29.67,882,856,
44,356.34,44,890,823,
45,356.67,36.67,897,858,
46,357.01,19.33,875,871,
47,357.34,19,880,865,
48,357.67,27,896,858,
49,358,32.67,884,856,
50,358.33,34.67,880,848,
51,358.66,43,913,869,
52,358.99,41,911,858,
53,359.33,27.67,878,852,
54,359.66,25.67,858,854,
55,359.99,26,905,858,
56,360.32,29.67,877,850,
57,360.65,24,865,850,
58,360.98,18.67,886,856,
59,361.31,13.67,884,873,
60,361.65,14,877,877,
61,361.98,18,892,861,
62,362.31,27.67,886,863,
63,362.64,29.67,888,859,
64,362.97,31,896,859,
65,363.3,32.67,892,865,
66,363.63,28.33,890,856,
67,363.97,27.67,878,854,
68,364.3,24,884,859,
69,364.63,23,892,869,
70,364.96,30,886,865,
71,365.29,28,890,844,
72,365.62,21,886,869,
73,365.95,20.67,865,865,
74,366.29,37,901,856,
75,366.62,45.33,920,854,
76,366.95,37.33,896,871,
77,367.28,23.33,880,859,
78,367.61,22,880,856,
79,367.94,26,888,867,
80,368.28,27.33,896,863,
81,368.61,33,884,856,
82,368.94,28.33,897,859,
83,369.27,50,888,869,
84,369.6,48.67,937,844,
85,369.93,49.33,899,865,
86,370.27,31.67,907,886,
87,370.6,31.67,892,852,
88,370.93,27.67,892,858,
89,371.26,19,884,875,
90,371.59,14.67,873,859,
91,371.92,28,880,859,
92,372.26,27,903,854,
93,372.59,22.33,861,850,
94,372.92,18.67,865,858,
95,373.25,21.33,901,863,
96,373.58,20.67,882,863,
97,373.92,25.33,882,877,
98,374.25,35,894,842,
99,374.58,32,911,863,
100,374.91,24,888,892,
101,375.24,32,880,852,
102,375.57,42,894,822,
103,375.91,41,899,873,
104,376.24,30.33,890,865,
105,376.57,35,888,848,
106,376.9,29.33,886,846,
107,377.23,29,873,865,
108,377.57,29.33,880,841,
109,377.9,38,897,856,
110,378.23,36.33,890,856,
111,378.56,30.33,899,865,
112,378.89,13.33,884,861,
113,379.23,12,867,884,
114,379.56,15.67,886,856,
115,379.89,34,884,850,
116,380.22,26.33,890,852,
117,380.55,27,884,877,
118,380.89,34,886,850,
119,381.22,35.67,913,854,
120,381.55,29.33,875,863,
121,381.88,28,880,863,
122,382.21,43,901,846,
123,382.55,54,922,865,
124,382.88,44,909,859,
125,383.21,28.67,886,861,
126,383.54,10,880,869,
127,383.87,17.67,861,867,
128,384.21,27.33,896,848,
129,384.54,19.33,892,852,
130,384.87,6.67,873,903,
131,385.2,16,875,865,
132,385.53,39.33,918,850,
133,385.87,44.33,896,856,
134,386.2,33.33,884,859,
135,386.53,32.33,896,861,
136,386.86,18.33,896,859,
137,387.19,20,858,875,
138,387.53,21.67,909,869,
139,387.86,39.33,903,861,
140,388.19,31,884,848,
141,388.52,24,861,846,
142,388.86,11.33,877,856,
143,389.19,12.67,888,890,
144,389.52,24,894,875,
145,389.85,47,890,835,
146,390.18,54.33,892,825,
147,390.52,41.67,897,856,
148,390.85,32,886,869,
149,391.18,26.67,886,848,
150,391.51,23.67,892,867,
151,391.84,14.67,890,882,
152,392.18,17,869,858,
153,392.51,10.67,886,854,
154,392.84,14.67,854,865,
155,393.17,12.33,875,852,
156,393.51,22.33,890,865,
157,393.84,23.33,882,863,
158,394.17,37.33,897,871,
159,394.5,44.33,913,846,
160,394.84,46.33,877,837,
161,395.17,31,907,875,
162,395.5,36.67,886,865,
163,395.83,36,905,848,
164,396.16,27,897,867,
165,396.5,19.33,869,875,
166,396.83,24,897,863,
167,397.16,33,903,859,
168,397.49,31.33,888,867,
169,397.83,26.67,894,865,
170,398.16,28.67,899,869,
171,398.49,34,888,861,
172,398.82,37.33,901,856,
173,399.16,45,896,856,
174,399.49,35,894,844,
175,399.82,27.33,886,871,
176,400.15,21.33,873,856,
177,400.49,20,888,856,
178,400.82,17,886,875,
179,401.15,32,886,878,
180,401.48,30,916,839,
181,401.82,34.33,878,873,
182,402.15,20.67,888,867,
183,402.48,18.33,901,865,
184,402.81,17.67,859,861,
185,403.14,21,880,861,
186,403.48,32.67,890,844,
187,403.81,27,892,859,
188,404.14,18,867,865,
189,404.47,17,878,859,
190,404.81,21,880,850,
191,405.14,23.33,877,863,
192,405.47,28,901,875,
193,405.8,31,903,859,
194,406.14,28.67,882,859,
195,406.47,24,882,863,
196,406.8,27.67,903,873,
197,407.13,30,884,850,
198,407.47,32.67,884,858,
199,407.8,38.33,892,854,
200,408.13,30.33,897,846,
201,408.47,30,858,856,
202,408.8,18.67,896,859,
203,409.13,25,888,871,
204,409.46,17.67,882,861,
205,409.8,21.33,882,867,
206,410.13,15,899,871,
207,410.46,25.67,871,869,
208,410.79,27,897,850,
209,411.13,32.67,909,877,
210,411.46,21.33,882,863,
211,411.79,19,869,856,
212,412.12,31.67,871,846,
213,412.46,42,907,850,
214,412.79,37.67,886,842,
215,413.12,32.67,871,859,
216,413.45,30.67,907,865,
217,413.79,32,911,873,
218,414.12,27.67,875,859,
219,414.45,17.33,890,861,
220,414.78,26.67,880,873,
221,415.12,28.67,892,848,
222,415.45,34,877,842,
223,415.78,36.67,896,873,
224,416.12,37,911,859,
225,416.45,37.67,882,846,
226,416.78,35.67,886,861,
227,417.11,37.67,894,848,
228,417.45,40,894,852,
229,417.78,37.33,901,869,
230,418.11,38.67,901,863,
231,418.44,33.67,907,861,
232,418.78,31,884,867,
233,419.11,24,901,871,
234,419.44,29.67,884,859,
235,419.78,24.67,882,848,
236,420.11,22,888,873,
237,420.44,26.67,894,877,
238,420.77,44,894,846,
239,421.11,53.67,911,844,
240,421.44,50.33,905,859,
241,421.77,35.67,911,873,
242,422.1,28,884,861,
243,422.44,21.67,892,869,
244,422.77,28.33,884,865,
245,423.1,35.33,899,856,
246,423.44,46,894,850,
247,423.77,31,907,856,
248,424.1,19,854,856,
249,424.43,7.67,871,863,
250,424.77,21.67,890,873,
251,425.1,36,890,850,
252,425.43,44.33,892,841,
253,425.76,57.67,909,867,
254,426.1,52,894,814,
255,426.43,56.33,884,850,
256,426.76,38.33,890,835,
257,427.1,39.67,901,875,
258,427.43,29,901,863,
259,427.76,17.67,873,850,
260,428.09,16,848,856,
261,428.43,14.67,894,861,
262,428.76,33.33,878,859,
263,429.09,34,909,861,
264,429.43,39,877,842,
265,429.76,37.67,884,850,
266,430.09,38.67,896,852,
267,430.42,41,905,867,
268,430.76,48,897,856,
269,431.09,50.33,913,848,
270,431.42,52.33,903,858,
271,431.76,39.33,920,873,
272,432.09,44,878,852,
273,432.42,37,911,852,
274,432.75,46,903,877,
275,433.09,45.33,907,854,
276,433.42,42.33,909,852,
277,433.75,35,880,863,
278,434.09,29.67,875,844,
279,434.42,38.33,897,856,
280,434.75,51,899,856,
281,435.09,50.67,930,861,
282,435.42,46.33,899,859,
283,435.75,38,882,852,
284,436.08,33.67,905,861,
285,436.42,39.67,892,865,
286,436.75,45.33,894,846,
287,437.08,42,922,861,
288,437.42,35.33,897,880,
289,437.75,15.67,899,871,
290,438.08,46,856,854,
291,438.41,62.33,960,852,
292,438.75,78,916,839,
293,439.08,51.67,907,858,
294,439.41,42.67,890,861,
295,439.75,38.33,909,859,
296,440.08,30.67,899,863,
297,440.41,33.67,867,861,
298,440.74,36.33,918,859,
299,441.08,57.33,903,859,
300,441.41,47.67,915,846,
301,441.74,47,907,877,
302,442.08,45,903,861,
303,442.41,51,907,844,
304,442.74,48.67,909,861,
305,443.08,49.33,896,861,
306,443.41,51.67,911,846,
307,443.74,60,909,854,
308,444.07,61,918,858,
309,444.41,58.67,918,850,
310,444.74,60.33,909,861,
311,445.07,53.67,932,867,
312,445.41,59,913,865,
313,445.74,36.67,905,841,
314,446.07,34,909,911,
315,446.41,31,918,878,
316,446.74,50.67,913,858,
317,447.07,56.33,911,854,
318,447.4,52,916,859,
319,447.74,52.67,901,859,
320,448.07,53.33,907,848,
321,448.4,57,928,869,
322,448.74,59,911,858,
323,449.07,53.67,924,859,
324,449.4,53,920,877,
325,449.74,53,909,858,
326,450.07,54.67,915,850,
327,450.4,56,913,865,
328,450.73,49.67,935,880,
329,451.07,59,907,861,
330,451.4,61.67,907,831,
331,451.73,69.33,915,852,
332,452.07,68,932,863,
333,452.4,75.67,922,850,
334,452.73,72.33,934,848,
335,453.07,64.33,928,869,
336,453.4,52.67,907,859,
337,453.73,44.33,907,856,
338,454.06,42.33,897,863,
339,454.4,46.33,911,869,
340,454.73,56.67,915,852,
