Pixel,Wavelength,Processed,Raw,Dark,Reference
0,341.78,34,924,890,
1,342.11,42,913,856,
2,342.44,47,896,861,
3,342.77,38,916,867,
4,343.1,50.67,899,869,
5,343.43,55.33,934,861,
6,343.76,65,926,863,
7,344.09,58.33,924,865,
8,344.42,60,922,869,
9,344.75,59.33,916,848,
10,345.09,60.67,916,859,
11,345.42,53.33,926,869,
12,345.75,57.33,907,861,
13,346.08,62,932,863,
14,346.41,64,932,861,
15,346.74,58,915,863,
16,347.07,50.67,922,871,
17,347.4,50.67,903,854,
18,347.73,45.67,932,880,
19,348.06,51,905,869,
20,348.4,59,926,861,
21,348.73,66.67,937,861,
22,349.06,65,915,856,
23,349.39,49.67,916,856,
24,349.72,46.33,903,873,
25,350.05,44.67,916,867,
26,350.38,67.33,901,846,
27,350.71,66.33,935,837,
28,351.04,63.67,915,869,
29,351.37,59.67,905,858,
30,351.71,55,947,861,
31,352.04,52.67,901,869,
32,352.37,43.67,913,873,
33,352.7,56.33,932,873,
34,353.03,50.33,928,858,
35,353.36,48.33,897,875,
36,353.69,43,920,867,
37,354.02,59.33,913,859,
38,354.36,56.67,934,863,
39,354.69,65,897,852,
40,355.02,55.67,920,841,
41,355.35,61,916,873,
42,355.68,59.33,928,867,
43,356.01,75.67,930,856,
44,356.34,69.67,915,823,
45,356.67,58.33,901,858,
46,357.01,52.33,911,871,
47,357.34,57,939,865,
48,357.67,58,915,858,
49,358,56.67,899,856,
50,358.33,54.67,918,848,
51,358.66,57.33,920,869,
52,358.99,54.33,909,858,
53,359.33,65,913,852,
54,359.66,68.67,937,854,
55,359.99,67.33,920,858,
56,360.32,65.67,907,850,
57,360.65,62,928,850,
58,360.98,53.67,907,856,
59,361.31,40.33,905,873,
60,361.65,40,915,877,
61,361.98,42,911,861,
62,362.31,46.67,901,863,
63,362.64,54.33,911,859,
64,362.97,58.67,932,859,
65,363.3,61.33,916,865,
66,363.63,65.33,916,856,
67,363.97,69.33,939,854,
68,364.3,63.33,922,859,
69,364.63,55.33,911,869,
70,364.96,61,926,865,
71,365.29,55.33,924,844,
72,365.62,50.33,894,869,
73,365.95,37,911,865,
74,366.29,55.33,896,856,
75,366.62,51.33,934,854,
76,366.95,53.33,905,871,
77,367.28,53,905,859,
78,367.61,51.67,935,856,
79,367.94,54,897,867,
80,368.28,49.67,916,863,
81,368.61,58.67,922,856,
82,368.94,58.67,916,859,
83,369.27,64,922,869,
84,369.6,66,926,844,
85,369.93,54,928,865,
86,370.27,50,903,886,
87,370.6,51.67,922,852,
88,370.93,59.67,926,858,
89,371.26,61.33,916,875,
90,371.59,66,934,859,
91,371.92,71.33,941,859,
92,372.26,67.33,911,854,
93,372.59,62.67,913,850,
94,372.92,69,926,858,
95,373.25,62.67,939,863,
96,373.58,55,907,863,
97,373.92,55.67,922,877,
98,374.25,59.33,920,842,
99,374.58,62,918,863,
100,374.91,60,945,892,
101,375.24,77.67,924,852,
102,375.57,72,930,822,
103,375.91,74.67,909,873,
104,376.24,67.67,945,865,
105,376.57,79,935,848,
106,376.9,72,916,846,
107,377.23,77.67,924,865,
108,377.57,73.33,945,841,
109,377.9,72,913,856,
110,378.23,57.67,911,856,
111,378.56,59,926,865,
112,378.89,56,922,861,
113,379.23,53.33,930,884,
114,379.56,64,909,856,
115,379.89,66.33,943,850,
116,380.22,56,905,852,
117,380.55,46.67,899,877,
118,380.89,57.33,915,850,
119,381.22,64,939,854,
120,381.55,62,905,863,
121,381.88,59,922,863,
122,382.21,62,922,846,
123,382.55,62.67,916,865,
124,382.88,57.67,920,859,
125,383.21,54,922,861,
126,383.54,54,909,869,
127,383.87,57.67,928,867,
128,384.21,58.33,920,848,
129,384.54,42,894,852,
130,384.87,43.33,915,903,
131,385.2,51,941,865,
132,385.53,62.67,915,850,
133,385.87,61,903,856,
134,386.2,57.67,930,859,
135,386.53,60.67,916,861,
136,386.86,45,915,859,
137,387.19,48.33,899,875,
138,387.53,54.33,934,869,
139,387.86,66,935,861,
140,388.19,74.67,907,848,
141,388.52,77.67,937,846,
142,388.86,66.33,939,856,
143,389.19,55,915,890,
144,389.52,59,932,875,
145,389.85,85.67,930,835,
146,390.18,85.67,930,825,
147,390.52,71.67,913,856,
148,390.85,55,922,869,
149,391.18,55.67,903,848,
150,391.51,57.67,926,867,
151,391.84,60.67,941,882,
152,392.18,64.33,922,858,
153,392.51,56.67,924,854,
154,392.84,56.67,901,865,
155,393.17,62,916,852,
156,393.51,65.33,951,865,
157,393.84,61.67,909,863,
158,394.17,57.67,924,871,
159,394.5,71.33,920,846,
160,394.84,69.33,924,837,
161,395.17,64.33,922,875,
162,395.5,55,924,865,
163,395.83,55.33,907,848,
164,396.16,30.33,915,867,
165,396.5,25.33,859,875,
166,396.83,31.67,907,863,
167,397.16,55.33,926,859,
168,397.49,61,922,867,
169,397.83,52.67,926,865,
170,398.16,49,911,869,
171,398.49,53.33,905,861,
172,398.82,63.33,930,856,
173,399.16,76,928,856,
174,399.49,71,926,844,
175,399.82,73.33,930,871,
176,400.15,65,935,856,
177,400.49,59.67,913,856,
178,400.82,51.33,918,875,
179,401.15,64.33,932,878,
180,401.48,72.67,935,839,
181,401.82,69.33,941,873,
182,402.15,48,911,867,
183,402.48,47,897,865,
184,402.81,57,926,861,
185,403.14,76.67,935,861,
186,403.48,71.67,935,844,
187,403.81,68,909,859,
188,404.14,61.33,928,865,
189,404.47,65,930,859,
190,404.81,67.67,911,850,
191,405.14,64.67,934,863,
192,405.47,63,937,875,
193,405.8,59.67,915,859,
194,406.14,46.67,920,859,
195,406.47,46.33,886,863,
196,406.8,44.33,928,873,
197,407.13,49.33,905,850,
198,407.47,61.33,896,858,
199,407.8,75.33,945,854,
200,408.13,83.33,943,846,
201,408.47,79.67,918,856,
202,408.8,68.67,939,859,
203,409.13,69.67,935,871,
204,409.46,66.33,926,861,
205,409.8,60,937,867,
206,410.13,49,916,871,
207,410.46,42.67,901,869,
208,410.79,46,901,850,
209,411.13,62,932,877,
210,411.46,65.67,943,863,
211,411.79,77.67,918,856,
212,412.12,74.33,937,846,
213,412.46,76,920,850,
214,412.79,66,909,842,
215,413.12,63,920,859,
216,413.45,59,926,865,
217,413.79,57.67,928,873,
218,414.12,64,916,859,
219,414.45,61.33,941,861,
220,414.78,66.33,920,873,
221,415.12,64,920,848,
222,415.45,68.67,915,842,
223,415.78,65.67,934,873,
224,416.12,66,922,859,
225,416.45,71,920,846,
226,416.78,75.33,937,861,
227,417.11,73.33,924,848,
228,417.45,72.67,920,852,
229,417.78,68.33,943,869,
230,418.11,66.67,926,863,
231,418.44,59,924,861,
232,418.78,62,918,867,
233,419.11,59,943,871,
234,419.44,70.67,913,859,
235,419.78,67.33,934,848,
236,420.11,72.67,935,873,
237,420.44,73.33,947,877,
238,420.77,80,934,846,
239,421.11,84,926,844,
