Date of acquisition,Date of measurement,LABEL,VARIETY,Location,Batch (Fogiene),WEIGHT (g),DIA1 (mm) - short width,DIA2 (mm) - long width,DIA3 (mm) - length,VOL_BEFORE (ml),VOL_AFTER (ml),VOLUME (ml),VISUAL_COLOR,VISUAL_MATURITY,VISUAL_DAMAGE (at spectral acquisition side),REMARKS,Distance to probe (cm),Presence of beak/nose,Density of water,Density of fruit,Ripening remarks
01-04-2023,03-04-2023,1,Badami,Chennapatna,1,223,67,73.62,89.19,1400,1640,240,green,immature,none,white lenticel formation,6.5,,0.935,0.929166667,
01-04-2023,03-04-2023,2,Badami,Chennapatna,1,277,71.28,81.17,97.46,1400,1700,300,green,immature,none,white lenticel formation,6,,0.935,0.923333333,
01-04-2023,03-04-2023,3,Badami,Chennapatna,1,210,66.51,71.95,86.33,1400,1630,230,green,immature,none,white lenticel formation slight bruise near 3B,7,,0.935,0.913043478,
01-04-2023,03-04-2023,4,Badami,Chennapatna,1,242,71.38,76.05,89.39,1400,1660,260,green,immature,none,white lenticel formation,6.5,,0.935,0.930769231,
01-04-2023,03-04-2023,5,Badami,Chennapatna,1,215,65.07,69.71,90.33,1400,1640,240,green,immature,none,white lenticel formation,6.5,,0.935,0.895833333,
01-04-2023,04-04-2023,6,Badami,Chennapatna,2,212,61.75,71.33,89.14,1360,1580,220,green,immature,black spots,"white lenticel formation, 
black spots covering A side",7.8,,0.935,0.963636364,
01-04-2023,04-04-2023,7,Badami,Chennapatna,2,211,65.77,72.19,82.65,1360,1580,220,green,immature,none,white lenticel with little scarf skin and black spots,7.8,,0.935,0.959090909,
01-04-2023,04-04-2023,8,Badami,Chennapatna,,,,,,,,0,green,immature,,suspected fruit fly so kept for check (only images data taken),,,0.935,,
01-04-2023,04-04-2023,9,Badami,Chennapatna,2,237,67.87,73.36,92.72,1360,1600,240,green,immature,none,"white lenticel formation with red blush near stem end, few black spots on shoulder",7.5,,0.935,0.9875,
01-04-2023,04-04-2023,10,Badami,Chennapatna,2,178,62.45,68.53,82.94,1360,1540,180,green,immature,black spots,"white lenticel formation, 
black spots covering B side",8.3,,0.935,0.988888889,
01-04-2023,04-04-2023,11,Badami,Chennapatna,2,261,69.52,79.4,96.93,1360,1640,280,green,immature,none,white lenticel formation,7.5,,0.935,0.932142857,
01-04-2023,05-04-2023,12,Badami,Chennapatna,3,307,74.31,78.16,95.24,1320,1600,280,green,immature,none,white lenticel formation,7.1,,0.935,1.096428571,
01-04-2023,05-04-2023,13,Badami,Chennapatna,3,259,72.5,74.57,95.97,1320,1580,260,green,immature,holes,"possible insect holes on A and B side, white lenticel formation",7.5,,0.935,0.996153846,
01-04-2023,05-04-2023,14,Badami,Chennapatna,3,220,68.64,68.99,85.53,1320,1520,200,green,immature,none,white lenticel formation,7.7,,0.935,1.1,
01-04-2023,05-04-2023,15,Badami,Chennapatna,3,232,65.08,74.1,91.15,1300,1560,260,green,immature,none,"black spots near label on A side, white lenticel formation",7.6,,0.935,0.892307692,
01-04-2023,05-04-2023,16,Badami,Chennapatna,3,235,66.73,75.34,92.65,1300,1560,260,green,immature,none,white lenticel formation,7.5,,0.935,0.903846154,
01-04-2023,05-04-2023,17,Badami,Chennapatna,3,179,62.78,67.34,82.07,1300,1500,200,green,immature,cut and black spots,"white lenticel formation, BLACK SPOTS ON a AND b SIDE AND POSSIBLE CUT ON A SIDE, BLACK BURN ON A SIDE NEAR SHOULDER,  SCARF SKIN ON LOWER PORTIONS",8.3,,0.935,0.895,
01-04-2023,06-04-2023,18,Badami,Chennapatna,4,243,67.57,74.99,89.09,660,900,240,green,immature,none,"white lenticel formation, black spots on the shoulder plus red blush",7.3,,0.935,1.0125,
01-04-2023,06-04-2023,19,Badami,Chennapatna,4,189,60.89,67.18,87.66,650,850,200,green,immature,none,"white lenticel formation, black spots on the shoulder",8.2,,0.935,0.945,
01-04-2023,06-04-2023,20,Badami,Chennapatna,4,247,68.22,75.17,92.08,650,900,250,green,immature,none,"white lenticel formation, slight red blush on the shoulder",7.6,,0.935,0.988,
01-04-2023,06-04-2023,21,Badami,Chennapatna,4,244,66.31,71.28,91.4,650,900,250,green,immature,black spots,"white lenticel formation, black spots on B side plus red blush on the shoulder",7.7,,0.935,0.976,
01-04-2023,06-04-2023,22,Badami,Chennapatna,4,246,67.56,75.08,90.1,650,900,250,green,immature,scarf skin and blck spots,"white lenticel formation, scarf skin and black spots",7.6,,0.935,0.984,
01-04-2023,06-04-2023,23,Badami,Chennapatna,4,221,64.82,71.24,89.46,640,880,240,green,immature,none,white lenticel formation,8.1,,0.935,0.920833333,
01-04-2023,10-04-2023,24,Badami,Chennapatna,5,229,63.97,73.4,94.68,590,830,240,green,immature,skin damaged ,"white lenticel formation, more soft than earlier taken, skin damaged on A side",8,,0.935,0.954166667,
01-04-2023,10-04-2023,25,Badami,Chennapatna,5,194,62.99,67.58,83.39,590,790,200,green,immature,none,"white lenticel formation, more soft than earlier taken, black spots on shoulder",8.4,,0.935,0.97,
01-04-2023,10-04-2023,26,Badami,Chennapatna,5,233,66.72,73.43,90.28,590,830,240,green,immature,physical injury,"white lenticel formation, more soft than earlier taken, bruise/cut on B side",7.9,,0.935,0.970833333,
01-04-2023,10-04-2023,27,Badami,Chennapatna,5,258,69.45,74.57,95.48,590,860,270,green,immature,black spots,"white lenticel formation, more soft than earlier taken, small black spots",7.5,,0.935,0.955555556,
01-04-2023,10-04-2023,28,Badami,Chennapatna,5,232,68.41,71.14,89.65,590,820,230,green,immature,none,"white lenticel formation, more soft than earlier taken",7.7,,0.935,1.008695652,
01-04-2023,10-04-2023,29,Badami,Chennapatna,6,207,63.36,68.29,91.4,580,790,210,green,immature,none,"white lenticel formation, more soft than earlier taken, scarf skin on shoulders",8.1,,0.935,0.985714286,
01-04-2023,11-04-2023,30,Badami,Chennapatna,6,232,65.87,73.33,91.22,580,810,230,green,immature,black spots,"white lenticel formation, more soft than earlier taken, small black spots on A side",7.9,,0.935,1.008695652,
01-04-2023,11-04-2023,31,Badami,Chennapatna,6,265,67.12,78.4,96.77,580,840,260,green,immature,black spots,"white lenticel formation, more soft than earlier taken, scarf skin and few black spots",7.7,,0.935,1.019230769,
01-04-2023,11-04-2023,32,Badami,Chennapatna,6,233,65.13,72.18,92.09,580,810,230,green,immature,black spots,"white lenticel formation, more soft than earlier taken, small black spots",7.9,,0.935,1.013043478,
01-04-2023,11-04-2023,33,Badami,Chennapatna,6,230,66.02,73.46,90.6,580,810,230,green,immature,none,"white lenticel formation, more soft than earlier taken, black spots on shoulder",8.1,,0.935,1,
12-04-2023,13-04-2023,34,Badami,Chennapatna,7,233,63.09,72.71,98.65,540,780,240,green,immature,none,"white lenticel formation,  black spots near apex",7.9,,0.935,0.970833333,
12-04-2023,13-04-2023,35,Badami,Chennapatna,7,243,66.76,73.77,97.05,540,790,250,green,immature,none,"white lenticel formation,  black spots near apex",7.7,,0.935,0.972,
12-04-2023,13-04-2023,36,Badami,Chennapatna,7,306,70.05,79.18,107.57,540,850,310,green,immature,none,white lenticel formation,7.5,,0.935,0.987096774,
12-04-2023,13-04-2023,37,Badami,Chennapatna,7,246,67.69,74.22,96.25,540,790,250,green,immature,none,"white lenticel formation, physical injury at apex",7.8,,0.935,0.984,
12-04-2023,13-04-2023,38,Badami,Chennapatna,7,235,62.42,73.28,99.3,540,780,240,green,immature,none,"white lenticel formation, skin damage near apex and cut on A side outside spectra acquisition region",8.2,,0.935,0.979166667,
12-04-2023,13-04-2023,39,Badami,Chennapatna,7,252,67.81,73.79,98.3,530,800,270,green,immature,physical injury,"white lenticel formation,  cut on A side",7.7,,0.935,0.933333333,
12-04-2023,14-04-2023,40,Badami,Chennapatna,8,233,61.07,74.21,99.72,520,760,240,green,immature,black spots,"white lenticel formation,  black spots on A and B side",8,,0.935,0.970833333,
12-04-2023,14-04-2023,41,Badami,Chennapatna,8,276,68.28,75.52,103.29,520,800,280,green with yellow blush,immature,none,"white lenticel formation,  cut on B side at end, yellow coloration on the shoulder",7.5,,0.935,0.985714286,
12-04-2023,14-04-2023,42,Badami,Chennapatna,8,198,59.63,68.06,93.51,520,730,210,green with yellow blush,immature,none,"white lenticel formation,  yellow coloration on shoulder",8.5,,0.935,0.942857143,
12-04-2023,14-04-2023,43,Badami,Chennapatna,8,291,68.03,80.34,105.7,520,820,300,green,immature,none,"white lenticel formation,  black spots on shoulder, possible sap burns",7.3,,0.935,0.97,
12-04-2023,14-04-2023,44,Badami,Chennapatna,8,221,63.34,72.18,93.84,520,750,230,green with yellow blush,immature,black spots,"white lenticel formation,  spots on A side, slight yellow coloration on the shoulder",8,,0.935,0.960869565,
12-04-2023,14-04-2023,45,Badami,Chennapatna,8,253,65.76,70.44,100.54,520,780,260,green with yellow blush,immature,black spots,"white lenticel formation,  spots on A side, yellow coloration on the shoulder",7.6,,0.935,0.973076923,
12-04-2023,17-04-2023,46,Badami,Chennapatna,9,312,67.27,81.64,111.5,450,790,340,green with yellow blush,immature,black spots,"white lenticel formation, spots on A side, slight yellow coloration on the side",7.6,,0.935,0.917647059,
12-04-2023,17-04-2023,47,Badami,Chennapatna,9,238,64.81,74.18,98.18,450,720,270,green with yellow blush,immature,black spots,"white lenticel formation, spots on A side, slight yellow coloration on the A side",7.7,,0.935,0.881481481,
12-04-2023,17-04-2023,48,Badami,Chennapatna,9,290,68.21,78.92,104.41,440,760,320,green,immature,black spots,"white lenticel formation, spots on A side",7.3,,0.935,0.90625,
12-04-2023,17-04-2023,49,Badami,Chennapatna,9,226,65.07,70.02,96.47,440,700,260,green,immature,black spots,"white lenticel formation, spots on A side and side",7.8,,0.935,0.869230769,
12-04-2023,17-04-2023,50,Badami,Chennapatna,9,217,61.77,72.64,97.55,440,690,250,green with yellow blush,immature,black spots,"white lenticel formation,  spots on shoulders and B side, slight yellow coloration on the shoulder",8.3,,0.935,0.868,
12-04-2023,18-04-2023,51,Badami,Chennapatna,10,236,63.11,73.18,98.99,430,690,260,green with yellow blush,immature,black spots,"white lenticel formation,  spots on shoulders and B side (possible sap burn), softer,  slight yellow coloration on the shoulder",7.9,,0.935,0.907692308,
