INNOSPECTRA_NIR,ARCOPTIX_NIR,WASATCH_NIR,WASATCH_VISNIR
901.07,900.25,948.59,341.78
904.97,900.58,950.17,342.11
908.87,900.9,951.76,342.44
914.05,901.23,953.34,342.77
917.94,901.55,954.92,343.1
921.82,901.88,956.5,343.43
925.7,902.2,958.08,343.76
929.57,902.53,959.66,344.09
933.44,902.85,961.24,344.42
937.3,903.18,962.83,344.75
941.16,903.51,964.41,345.09
945.02,903.83,965.99,345.42
950.15,904.16,967.57,345.75
954.0,904.49,969.15,346.08
957.84,904.81,970.73,346.41
961.67,905.14,972.32,346.74
965.51,905.47,973.9,347.07
969.34,905.8,975.48,347.4
973.16,906.13,977.06,347.73
976.98,906.45,978.64,348.06
980.79,906.78,980.22,348.4
985.87,907.11,981.81,348.73
989.68,907.44,983.39,349.06
993.48,907.77,984.97,349.39
997.28,908.1,986.55,349.72
1001.07,908.43,988.13,350.05
1004.86,908.76,989.72,350.38
1008.64,909.09,991.3,350.71
1012.42,909.42,992.88,351.04
1016.2,909.75,994.46,351.37
1021.23,910.08,996.04,351.71
1024.99,910.42,997.62,352.04
1028.75,910.75,999.21,352.37
1032.51,911.08,1000.79,352.7
1036.26,911.41,1002.37,353.03
1040.01,911.74,1003.95,353.36
1043.75,912.08,1005.53,353.69
1047.49,912.41,1007.12,354.02
1051.23,912.74,1008.7,354.36
1056.2,913.08,1010.28,354.69
1059.93,913.41,1011.86,355.02
1063.65,913.74,1013.44,355.35
1067.36,914.08,1015.02,355.68
1071.08,914.41,1016.6,356.01
1074.79,914.75,1018.19,356.34
1078.49,915.08,1019.77,356.67
1082.19,915.42,1021.35,357.01
1085.88,915.75,1022.93,357.34
1090.8,916.09,1024.51,357.67
1094.49,916.42,1026.09,358.0
1098.17,916.76,1027.68,358.33
1101.85,917.09,1029.26,358.66
1105.52,917.43,1030.84,358.99
1109.19,917.77,1032.42,359.33
1112.85,918.11,1034.0,359.66
1116.51,918.44,1035.58,359.99
1120.17,918.78,1037.16,360.32
1125.03,919.12,1038.74,360.65
1128.68,919.46,1040.32,360.98
1132.32,919.79,1041.91,361.31
1135.96,920.13,1043.49,361.65
1139.59,920.47,1045.07,361.98
1143.22,920.81,1046.65,362.31
1146.84,921.15,1048.23,362.64
1150.46,921.49,1049.81,362.97
1154.07,921.83,1051.39,363.3
1158.89,922.17,1052.97,363.63
1162.49,922.51,1054.55,363.97
1166.09,922.85,1056.13,364.3
1169.69,923.19,1057.71,364.63
1173.28,923.53,1059.29,364.96
1176.87,923.87,1060.87,365.29
1180.46,924.21,1062.45,365.62
1184.03,924.56,1064.03,365.95
1187.61,924.9,1065.61,366.29
1192.37,925.24,1067.19,366.62
1195.94,925.58,1068.77,366.95
1199.5,925.93,1070.35,367.28
1203.05,926.27,1071.93,367.61
1206.6,926.61,1073.51,367.94
1210.15,926.96,1075.09,368.28
1213.7,927.3,1076.67,368.61
1217.24,927.64,1078.25,368.94
1220.77,927.99,1079.83,369.27
1225.48,928.33,1081.41,369.6
1229.0,928.68,1082.99,369.93
1232.52,929.02,1084.57,370.27
1236.04,929.37,1086.15,370.6
1239.55,929.71,1087.72,370.93
1243.06,930.06,1089.3,371.26
1246.56,930.41,1090.88,371.59
1250.06,930.75,1092.46,371.92
1253.56,931.1,1094.04,372.26
1258.21,931.45,1095.62,372.59
1261.7,931.79,1097.2,372.92
1265.18,932.14,1098.77,373.25
1268.65,932.49,1100.35,373.58
1272.13,932.84,1101.93,373.92
1275.59,933.18,1103.51,374.25
1279.06,933.53,1105.09,374.58
1282.52,933.88,1106.66,374.91
1285.97,934.23,1108.24,375.24
1290.57,934.58,1109.82,375.57
1294.02,934.93,1111.4,375.91
1297.46,935.28,1112.97,376.24
1300.89,935.63,1114.55,376.57
1304.33,935.98,1116.13,376.9
1307.75,936.33,1117.7,377.23
1311.18,936.68,1119.28,377.57
1314.6,937.03,1120.86,377.9
1318.01,937.38,1122.43,378.23
1322.56,937.73,1124.01,378.56
1325.96,938.09,1125.59,378.89
1329.36,938.44,1127.16,379.23
1332.76,938.79,1128.74,379.56
1336.15,939.14,1130.31,379.89
1339.54,939.5,1131.89,380.22
1342.92,939.85,1133.46,380.55
1346.3,940.2,1135.04,380.89
1349.68,940.56,1136.61,381.22
1354.17,940.91,1138.19,381.55
1357.54,941.27,1139.76,381.88
1360.9,941.62,1141.34,382.21
1364.25,941.97,1142.91,382.55
1367.61,942.33,1144.49,382.88
1370.95,942.68,1146.06,383.21
1374.3,943.04,1147.64,383.54
1377.64,943.4,1149.21,383.87
1380.97,943.75,1150.78,384.21
1385.41,944.11,1152.36,384.54
1388.74,944.47,1153.93,384.87
1392.06,944.82,1155.51,385.2
1395.37,945.18,1157.08,385.53
1398.68,945.54,1158.65,385.87
1401.99,945.89,1160.22,386.2
1405.3,946.25,1161.8,386.53
1408.59,946.61,1163.37,386.86
1411.89,946.97,1164.94,387.19
1416.28,947.33,1166.51,387.53
1419.56,947.69,1168.09,387.86
1422.84,948.05,1169.66,388.19
1426.12,948.41,1171.23,388.52
1429.39,948.77,1172.8,388.86
